0.72 0.95 7.28 3.18 3.97 8.38 4.29 12.74 7.16 7.75 5.65 2.12 0.31 5.63 0.83 1.29 7.11 7.21 3.91
0.89 1.61 6.92 3.01 3.85 7.61 3.28 11.83 7.05 7.03 5.16 3.13 0.70 5.08 1.07 0.31 6.25 6.48 3.06
1.01 2.24 6.42 2.67 3.50 6.85 2.21 10.74 7.00 6.18 4.63 4.13 0.86 4.48 1.35 -0.59 5.35 5.86 2.10
1.09 2.79 5.82 2.17 2.94 6.16 1.13 9.59 7.04 5.22 4.06 5.04 0.77 3.88 1.62 -1.40 4.39 5.39 1.05
1.13 3.23 5.16 1.55 2.21 5.58 0.10 8.47 7.14 4.17 3.46 5.78 0.41 3.30 1.83 -2.11 3.37 5.11 -0.07
1.12 3.52 4.49 0.82 1.34 5.11 -0.86 7.47 7.27 3.07 2.82 6.30 -0.17 2.78 1.95 -2.74 2.30 5.01 -1.21
1.05 3.62 3.83 -0.01 0.38 4.77 -1.71 6.66 7.41 1.96 2.13 6.57 -0.91 2.34 1.91 -3.31 1.20 5.07 -2.34
0.92 3.51 3.22 -0.92 -0.66 4.54 -2.45 6.08 7.54 0.88 1.40 6.58 -1.74 2.00 1.71 -3.80 0.09 5.28 -3.41
0.75 3.18 2.69 -1.90 -1.74 4.41 -3.07 5.74 7.61 -0.12 0.61 6.38 -2.58 1.76 1.32 -4.22 -0.98 5.62 -4.37
0.53 2.65 2.27 -2.94 -2.84 4.35 -3.59 5.64 7.61 -1.01 -0.22 6.02 -3.32 1.63 0.77 -4.56 -1.97 6.06 -5.19
0.29 1.95 1.98 -4.00 -3.91 4.35 -4.00 5.76 7.53 -1.77 -1.08 5.59 -3.91 1.61 0.08 -4.82 -2.82 6.59 -5.82
0.02 1.15 1.84 -5.01 -4.88 4.40 -4.31 6.08 7.38 -2.36 -1.94 5.17 -4.26 1.67 -0.69 -4.98 -3.48 7.18 -6.25
-0.24 0.34 1.86 -5.89 -5.70 4.48 -4.49 6.53 7.16 -2.77 -2.74 4.86 -4.33 1.79 -1.46 -5.03 -3.89 7.79 -6.43
-0.51 -0.37 2.04 -6.52 -6.28 4.58 -4.53 7.06 6.89 -2.95 -3.41 4.72 -4.06 1.95 -2.16 -4.98 -4.03 8.40 -6.35
-0.75 -0.87 2.39 -6.80 -6.52 4.71 -4.37 7.60 6.60 -2.89 -3.87 4.77 -3.42 2.13 -2.70 -4.84 -3.86 8.98 -5.98
-0.98 -1.05 2.86 -6.63 -6.34 4.85 -3.99 8.08 6.30 -2.57 -4.05 5.04 -2.39 2.31 -3.02 -4.61 -3.39 9.49 -5.31
-1.17 -0.84 3.41 -5.95 -5.71 4.99 -3.36 8.43 6.03 -1.98 -3.90 5.48 -1.00 2.47 -3.05 -4.31 -2.64 9.92 -4.36
-1.34 -0.24 4.00 -4.73 -4.61 5.13 -2.50 8.58 5.79 -1.16 -3.39 6.05 0.71 2.61 -2.80 -3.96 -1.67 10.25 -3.16
-1.48 0.74 4.58 -3.02 -3.10 5.25 -1.43 8.51 5.58 -0.13 -2.56 6.67 2.64 2.71 -2.27 -3.56 -0.55 10.48 -1.77
-1.60 1.99 5.08 -0.91 -1.27 5.34 -0.23 8.19 5.42 1.01 -1.46 7.28 4.70 2.80 -1.52 -3.12 0.60 10.61 -0.29
-1.72 3.40 5.46 1.46 0.76 5.38 1.03 7.64 5.27 2.20 -0.21 7.79 6.74 2.89 -0.63 -2.66 1.70 10.65 1.18
-1.85 4.82 5.67 3.91 2.81 5.35 2.25 6.89 5.14 3.33 1.09 8.17 8.63 3.01 0.29 -2.18 2.66 10.59 2.53
-2.00 6.12 5.69 6.26 4.74 5.25 3.33 6.01 5.00 4.32 2.32 8.37 10.26 3.16 1.15 -1.69 3.39 10.45 3.66
-2.19 7.17 5.49 8.34 6.38 5.07 4.19 5.06 4.83 5.09 3.37 8.39 11.52 3.38 1.87 -1.22 3.86 10.23 4.50
-2.41 7.91 5.10 9.99 7.63 4.81 4.77 4.10 4.64 5.59 4.17 8.24 12.35 3.65 2.36 -0.76 4.03 9.94 4.99
-2.67 8.31 4.50 11.11 8.39 4.45 5.02 3.17 4.39 5.78 4.65 7.93 12.72 3.96 2.59 -0.34 3.90 9.58 5.10
-2.96 8.37 3.73 11.64 8.62 4.00 4.92 2.29 4.08 5.63 4.79 7.47 12.64 4.26 2.52 0.03 3.49 9.15 4.83
-3.25 8.16 2.81 11.56 8.33 3.48 4.46 1.47 3.70 5.15 4.58 6.88 12.14 4.50 2.15 0.35 2.82 8.67 4.20
-3.54 7.73 1.79 10.89 7.54 2.89 3.65 0.68 3.23 4.37 4.06 6.17 11.28 4.64 1.50 0.62 1.95 8.12 3.26
-3.79 7.19 0.71 9.68 6.31 2.26 2.55 -0.08 2.68 3.33 3.25 5.38 10.14 4.63 0.59 0.85 0.93 7.51 2.07
-4.01 6.59 -0.38 8.02 4.71 1.61 1.20 -0.84 2.07 2.11 2.25 4.53 8.78 4.45 -0.53 1.08 -0.17 6.87 0.70
-4.18 6.00 -1.45 6.02 2.83 0.96 -0.31 -1.61 1.43 0.78 1.11 3.65 7.29 4.10 -1.79 1.32 -1.28 6.20 -0.76
-4.33 5.43 -2.47 3.75 0.73 0.34 -1.91 -2.39 0.77 -0.57 -0.08 2.77 5.75 3.59 -3.15 1.61 -2.34 5.53 -2.22
-4.49 4.88 -3.40 1.31 -1.51 -0.24 -3.54 -3.17 0.13 -1.86 -1.24 1.90 4.20 2.95 -4.57 1.95 -3.33 4.88 -3.61
-4.68 4.30 -4.26 -1.23 -3.86 -0.77 -5.15 -3.95 -0.46 -3.04 -2.33 1.08 2.67 2.20 -6.01 2.36 -4.21 4.30 -4.88
-4.97 3.65 -5.03 -3.81 -6.27 -1.25 -6.69 -4.72 -0.99 -4.08 -3.29 0.29 1.17 1.37 -7.45 2.83 -4.99 3.78 -6.00
-5.40 2.87 -5.73 -6.37 -8.69 -1.69 -8.14 -5.48 -1.46 -4.98 -4.12 -0.47 -0.30 0.48 -8.90 3.35 -5.68 3.34 -6.96
-5.99 1.92 -6.36 -8.86 -11.08 -2.09 -9.47 -6.20 -1.87 -5.74 -4.82 -1.22 -1.74 -0.45 -10.34 3.89 -6.30 3.00 -7.77
-6.75 0.81 -6.93 -11.22 -13.37 -2.47 -10.68 -6.88 -2.24 -6.37 -5.39 -1.97 -3.16 -1.37 -11.77 4.44 -6.86 2.73 -8.45
-7.67 -0.42 -7.42 -13.39 -15.48 -2.83 -11.73 -7.52 -2.57 -6.90 -5.83 -2.75 -4.52 -2.24 -13.16 4.95 -7.37 2.53 -9.01
-8.67 -1.68 -7.82 -15.27 -17.32 -3.17 -12.59 -8.08 -2.88 -7.32 -6.15 -3.55 -5.81 -3.00 -14.49 5.40 -7.81 2.38 -9.45
-9.70 -2.86 -8.12 -16.82 -18.81 -3.48 -13.22 -8.55 -3.18 -7.63 -6.34 -4.37 -6.96 -3.58 -15.69 5.80 -8.18 2.26 -9.78
-10.67 -3.86 -8.31 -17.98 -19.88 -3.75 -13.61 -8.91 -3.48 -7.80 -6.41 -5.19 -7.92 -3.95 -16.70 6.12 -8.45 2.15 -10.00
-11.52 -4.59 -8.40 -18.72 -20.49 -3.96 -13.74 -9.15 -3.76 -7.83 -6.33 -6.00 -8.64 -4.06 -17.49 6.38 -8.62 2.04 -10.10
-12.19 -5.00 -8.38 -19.06 -20.65 -4.10 -13.61 -9.24 -4.01 -7.70 -6.13 -6.74 -9.08 -3.92 -18.00 6.60 -8.69 1.93 -10.07
-12.66 -5.06 -8.30 -19.04 -20.42 -4.17 -13.23 -9.19 -4.21 -7.39 -5.78 -7.38 -9.20 -3.54 -18.23 6.82 -8.65 1.83 -9.91
-12.95 -4.80 -8.18 -18.71 -19.85 -4.16 -12.65 -9.01 -4.35 -6.90 -5.30 -7.86 -9.00 -2.99 -18.18 7.06 -8.53 1.76 -9.62
-13.07 -4.25 -8.06 -18.13 -19.01 -4.06 -11.88 -8.70 -4.38 -6.22 -4.66 -8.13 -8.49 -2.31 -17.87 7.38 -8.33 1.74 -9.21
-13.06 -3.45 -7.96 -17.35 -17.99 -3.89 -10.94 -8.30 -4.28 -5.34 -3.86 -8.12 -7.68 -1.57 -17.33 7.82 -8.06 1.82 -8.65
-12.96 -2.45 -7.89 -16.41 -16.84 -3.64 -9.86 -7.80 -4.03 -4.27 -2.90 -7.82 -6.61 -0.87 -16.60 8.39 -7.71 2.01 -7.97
-12.80 -1.28 -7.86 -15.34 -15.60 -3.33 -8.66 -7.26 -3.63 -3.03 -1.76 -7.21 -5.33 -0.27 -15.72 9.13 -7.29 2.33 -7.17
-12.62 0.01 -7.83 -14.15 -14.30 -2.98 -7.38 -6.69 -3.09 -1.67 -0.47 -6.35 -3.91 0.16 -14.75 10.00 -6.83 2.79 -6.28
-12.42 1.37 -7.81 -12.89 -12.99 -2.60 -6.08 -6.14 -2.45 -0.26 0.89 -5.31 -2.43 0.36 -13.74 10.99 -6.33 3.35 -5.35
-12.22 2.74 -7.77 -11.60 -11.71 -2.24 -4.81 -5.68 -1.77 1.10 2.26 -4.21 -0.98 0.29 -12.75 12.03 -5.84 3.97 -4.45
-12.03 4.05 -7.70 -10.36 -10.49 -1.91 -3.67 -5.34 -1.15 2.31 3.51 -3.19 0.35 -0.07 -11.85 13.04 -5.39 4.59 -3.66
-11.86 5.26 -7.60 -9.23 -9.38 -1.67 -2.74 -5.17 -0.67 3.28 4.57 -2.41 1.48 -0.71 -11.09 13.93 -5.02 5.12 -3.04
-11.74 6.32 -7.48 -8.27 -8.40 -1.55 -2.06 -5.22 -0.41 3.94 5.33 -1.99 2.36 -1.59 -10.50 14.63 -4.75 5.48 -2.64
-11.65 7.21 -7.35 -7.53 -7.58 -1.55 -1.67 -5.46 -0.45 4.29 5.77 -2.03 2.99 -2.65 -10.07 15.05 -4.60 5.63 -2.48
-11.60 7.97 -7.19 -6.99 -6.88 -1.69 -1.56 -5.86 -0.79 4.34 5.88 -2.55 3.39 -3.80 -9.77 15.16 -4.55 5.50 -2.51
-11.57 8.61 -7.01 -6.63 -6.27 -1.94 -1.67 -6.37 -1.44 4.18 5.73 -3.52 3.62 -4.95 -9.54 14.93 -4.57 5.10 -2.69
-11.55 9.21 -6.79 -6.36 -5.69 -2.26 -1.92 -6.89 -2.31 3.93 5.43 -4.84 3.79 -5.99 -9.29 14.39 -4.62 4.45 -2.93
